# Undirected graph: ../../data/output/amazon.ungraph.txt
# Amazon
# Nodes: 334863 Edges: 925872
# FromNodeId	ToNodeId
1	88160
1	118052
1	161555
1	244916
1	346495
1	444232
1	447165
1	500600
2	27133
2	62291
2	170507
2	299250
2	326776
2	331042
2	411179
2	451149
2	454888
4	16050
4	286286
4	310803
4	320519
4	408108
4	448284
5	173362
5	305321
5	407216
5	489756
6	162248
6	298989
6	398542
6	495077
7	30028
7	47672
7	355935
8	10758
8	55461
8	60605
8	148586
8	184847
8	242156
8	445607
8	453513
10	80558
10	192929
10	266485
10	500235
10	504757
11	57761
11	107436
11	400957
11	512424
12	386032
15	67084
15	85444
15	252980
15	422732
15	425706
15	428290
16	128935
16	148997
16	422237
17	18919
17	309780
18	41174
18	45026
18	168895
19	203677
20	23251
20	25337
20	61306
20	186932
20	218984
20	412652
20	450610
20	476125
21	17723
21	50332
21	62691
21	96553
21	114681
21	152202
21	166829
21	184384
21	198272
21	234603
21	297444
21	320969
21	340707
21	421307
21	505568
21	528460
21	536600
21	538669
21	545557
21	547758
22	444558
22	511266
22	531052
25	329631
25	483212
25	517449
26	95368
26	295866
26	309111
26	393249
26	410291
26	439826
26	486444
27	172631
27	385665
27	483393
28	319831
28	444973
29	56517
29	103486
29	247356
29	254470
29	260536
29	321434
29	425568
29	515736
31	85159
31	199627
32	207011
32	270841
32	333027
32	362777
34	48917
34	99853
34	197152
35	350166
35	476108
35	519941
38	84467
38	284568
38	458709
38	511273
38	517189
39	150250
39	301347
39	339797
39	412517
39	438351
39	498615
39	517966
42	38007
42	165211
42	202132
42	386937
42	408165
42	546773
43	6893
43	12433
43	30022
43	126893
43	188277
43	231040
43	308852
43	375902
43	439652
45	3604
45	28318
45	179783
45	219010
45	296035
45	477337
45	490336
45	521170
45	537362
46	109564
46	215555
46	352870
46	360354
46	376880
49	11762
49	157925
50	70372
50	104763
50	243355
51	178863
51	268283
51	300840
51	313180
51	360901
51	511008
51	521089
52	298828
52	302996
52	395615
54	144283
54	178505
54	225433
54	418374
54	529701
59	30925
59	194736
59	262789
59	277265
59	340052
59	431010
59	481267
59	491807
59	531181
60	120137
60	127781
60	252349
60	276685
60	355095
60	392511
60	466296
60	488649
60	514374
62	13426
62	73614
62	453178
62	454199
62	478204
63	193813
63	194827
63	405294
63	535431
64	269856
64	328229
64	355213
64	383692
64	484789
64	509737
65	14115
65	78654
66	229430
66	282913
66	362264
68	232063
68	275750
68	321438
68	375036
68	385226
68	409571
68	423059
69	247778
69	267166
69	277220
69	456407
69	507834
69	537914
72	21052
72	45272
72	108832
72	481740
72	528886
73	261014
73	261046
73	282562
73	393723
73	417573
73	483855
74	116363
74	131659
74	465216
75	228933
75	251592
75	254644
75	259591
75	321223
75	335778
75	427746
75	538405
77	24224
77	198860
77	375278
77	383931
78	279748
78	384219
78	481075
78	491183
78	515724
78	540130
79	112757
79	204636
79	326332
79	337430
79	394801
79	410781
79	455780
79	461388
79	501118
79	503991
79	534125
80	66238
80	536715
81	43363
81	171375
81	391605
81	482299
82	156331
82	333487
82	354385
82	433407
82	482506
82	489201
84	172852
84	239294
84	342090
84	384397
84	403527
84	403529
87	57874
87	201899
87	205632
87	336040
87	382874
91	29512
91	127854
91	431465
91	501890
91	505611
92	40437
92	64070
92	132812
92	164918
92	252338
92	276928
92	350476
92	351486
92	470964
92	479613
94	18099
94	35727
94	56860
94	66006
94	95611
94	172306
94	218491
94	250477
94	274208
94	287331
94	341034
94	430960
94	519463
94	539646
96	20162
96	299860
96	381461
96	517730
96	524600
98	466991
99	105529
99	119706
99	217307
99	242681
99	391072
99	516049
99	539513
100	241930
100	361820
100	371094
101	124786
101	186707
101	466129
102	74829
102	230648
102	262149
103	1352
103	59678
103	296265
103	522667
104	12639
104	245271
105	158412
105	178295
105	278985
105	490079
105	520172
105	529552
107	232639
107	285961
107	289519
107	360817
107	513301
108	34214
108	176280
108	234888
108	412749
108	493281
109	60460
109	176507
109	378941
109	414695
110	181908
110	382768
110	422235
113	64155
113	361946
113	502627
113	523735
118	239878
118	240783
118	261048
119	28735
119	465247
120	3458
120	6713
120	30203
120	55862
120	56223
120	57583
120	70756
120	103417
120	155733
120	188997
120	201760
120	223694
120	231855
120	233426
120	241189
120	267435
120	274204
120	275523
120	295306
120	298390
120	301450
120	315530
120	323934
120	348014
120	352488
120	354554
120	373520
120	374026
120	396771
120	402841
120	433981
120	440278
120	509114
120	540159
121	10489
121	123930
121	161171
121	497266
121	537757
124	243477
124	302516
124	318491
124	320027
124	366784
127	65255
127	183055
127	235419
127	259165
127	285305
127	363032
127	502306
128	26513
128	350694
128	374193
128	441002
128	530340
129	1903
129	67305
129	155050
129	283539
129	284912
129	321461
129	326338
129	369958
129	418267
129	466063
129	512231
129	514898
130	81171
130	118258
130	138401
130	142933
130	306529
130	315878
130	354603
130	375989
130	469899
130	494699
130	499782
130	525987
130	527813
130	544300
131	66154
131	104439
131	541739
132	114810
132	224509
132	340592
132	426678
132	489563
133	218320
133	297906
133	297907
133	330045
136	72587
136	89697
136	317071
136	438656
137	103751
137	133868
137	164998
137	194140
138	128038
138	218905
141	5376
141	275942
141	294503
141	438494
144	63130
144	330411
144	445344
145	247390
145	386761
145	493340
146	213209
146	341722
146	435135
147	96395
147	126666
147	190435
147	192099
147	204201
147	221209
147	253571
147	388948
147	401824
147	430959
147	461990
147	496844
147	511218
149	548083
153	23292
153	41491
153	166009
153	390370
153	542975
153	543006
153	545358
153	546604
153	547082
154	14517
154	189203
154	275852
154	281719
154	288626
155	75942
155	242860
155	341904
155	490181
158	90695
158	545659
158	546953
162	40061
162	70711
162	131153
162	297741
162	362376
162	473054
163	106918
163	294641
163	393938
164	98552
164	392400
164	494609
165	59231
165	67842
165	101737
165	233956
166	487701
166	512510
167	2928
167	120872
167	127427
167	397035
167	487177
167	541778
170	215543
170	337804
170	377446
172	120067
172	191551
172	367568
172	392009
172	490922
173	163125
173	324744
173	425568
174	15921
176	46460
176	131232
176	132531
176	132725
176	182209
176	201855
176	321841
176	347858
176	533157
178	35468
178	348269
178	423191
178	447111
178	519993
179	338007
179	521020
180	28001
180	219583
180	508984
180	534474
181	55768
182	88227
185	367153
185	428888
185	530084
186	89759
186	333883
186	427670
186	530681
187	69706
187	99838
187	233210
187	252981
187	289571
187	462399
189	27449
189	331190
189	333858
190	34494
190	265965
190	535565
193	1318
193	180577
193	204055
193	210618
193	339791
193	530038
196	18441
196	45123
196	204725
196	228496
196	289292
196	481322
196	511970
198	63132
198	115834
198	186548
198	239327
198	294337
199	17752
199	27125
199	27673
199	35460
199	148489
199	165308
199	180211
199	280116
199	329644
199	381182
199	416311
199	504701
199	522987
199	533752
200	96104
200	316689
200	517738
200	526223
201	119786
201	149004
201	164544
201	384771
203	14788
203	202940
203	231566
203	303764
203	444836
207	440045
207	517547
211	6760
211	28778
212	2049
212	18921
212	100068
212	236889
212	261870
212	282323
212	320151
212	423586
214	88727
214	251683
214	310727
215	180578
215	273076
215	279005
215	503196
220	51907
220	75243
220	345057
220	462630
220	471202
221	110214
221	301170
222	284825
224	40399
224	82840
224	425324
224	510903
225	54048
225	125250
225	218131
225	359546
225	415407
225	423781
225	510009
230	63824
230	110070
230	209330
230	295490
230	299537
230	320845
230	474442
230	531154
232	194723
232	269287
232	311079
232	407042
232	422952
233	27532
233	247393
233	316528
239	49153
239	180729
239	243521
239	358255
239	400275
239	419022
239	514822
239	529884
241	61712
241	104703
241	339572
241	486708
241	510009
242	395268
242	462059
242	501048
244	142987
244	314794
244	356172
244	363077
244	417631
246	103415
246	286091
246	315325
246	448907
248	201746
248	419053
248	436875
249	90010
249	274409
249	277359
249	313147
249	405502
249	408687
249	458090
249	483744
250	38917
250	79024
250	114249
250	184926
250	209461
250	302978
250	328775
250	344630
250	349715
250	412302
250	440262
250	458647
251	133857
251	227688
251	231534
251	232421
251	463539
251	545796
252	17838
252	19119
252	30038
252	84301
252	141482
252	153166
252	225668
252	287268
252	312147
252	352789
252	379280
252	397159
252	413713
252	413714
252	488936
252	503746
252	524691
252	533878
254	547522
254	548091
255	57654
255	97124
255	428865
255	487320
255	516543
256	27567
256	178765
256	257653
257	54999
257	70845
257	95480
257	176397
257	208459
257	239652
257	494839
257	524833
259	78803
259	411375
261	51447
261	202605
261	336421
261	438723
261	500424
263	296929
263	421538
264	162283
265	89926
265	145733
265	182045
265	202368
265	205069
265	226672
265	312767
265	331030
265	345355
265	441138
265	460219
265	489725
265	512156
265	528577
268	34730
268	45198
268	59308
268	69049
268	84587
268	133352
268	168560
268	282378
268	314877
268	389632
268	494032
268	543333
269	126528
269	171866
269	338786
269	423337
269	434500
271	254656
271	392903
271	466333
271	522498
272	36149
272	152980
272	188235
272	396638
272	429862
272	514806
272	540233
273	373466
273	448802
273	536140
274	80687
274	109982
274	268396
274	333156
274	334559
274	338211
274	361771
274	384232
274	464269
274	509613
275	8261
275	27993
275	39459
275	46258
275	50518
275	68836
275	78788
275	80241
275	89564
275	165989
275	179320
275	223042
275	229044
275	243640
275	246958
275	253757
275	268540
275	281620
275	350243
275	363293
275	369052
275	389784
275	393194
275	394773
275	396546
275	423938
275	435165
275	441163
275	448386
275	484080
275	501108
275	506204
276	201177
276	368466
277	42535
277	57896
277	60574
278	79870
279	14884
279	143969
279	291519
279	385628
279	392494
279	508815
282	270494
284	101809
284	416063
285	217006
287	26122
287	214631
287	502086
287	515142
294	320987
296	7292
296	28253
296	88015
296	109374
296	245159
296	272356
296	285678
296	338194
296	352846
296	376858
296	423854
296	424705
296	441565
296	465697
296	513357
296	530296
296	531155
296	532042
299	63705
299	121035
299	195243
299	269280
299	294539
302	28823
302	52415
302	56086
302	96977
302	141020
302	158481
302	269960
302	335827
302	371617
302	395825
302	407924
302	464164
302	472073
302	524550
302	528109
303	61766
303	179624
303	471548
304	59803
304	249874
304	259940
304	275213
304	291896
304	334218
304	385318
304	409975
304	417668
305	107041
305	245085
307	17814
307	352421
307	451164
307	536147
307	537772
311	342126
311	365188
311	390001
